model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
columns-llama3_8b_stateval_5_0_one-shot,0.8736,0.77381,0.8125,0.92797,0.88934,0.93436
columns-llama3_8b_sft_stateval_5_0_zero-shot,0.95787,0.92262,0.93359,0.97881,0.95902,0.98456
columns-llama2_7b_stateval_0_5_zero-shot-CoT,0.2313,0.23214,0.23438,0.21186,0.29918,0.18147
columns-llama3_8b_instruct_one-shot,0.83061,0.79762,0.83203,0.88559,0.71311,0.9112
columns-llama2_7b_stateval_0_5_zero-shot,0.28461,0.24405,0.22656,0.29661,0.31967,0.32432
columns-llama2_7b_stateval_1_5_zero-shot-CoT,0.26999,0.2381,0.26172,0.25847,0.31557,0.26641
columns-llama3_8b_instruct_sft_89_zero-shot,0.86672,0.77381,0.84766,0.86441,0.89344,0.92278
columns-llama2_13b_one-shot,0.60361,0.39881,0.54688,0.69492,0.52049,0.78764
columns-llama3_8b_sft_50_zero-shot,0.94239,0.8869,0.9375,0.94492,0.95492,0.96911
columns-llama3_8b_instruct_sft_stateval_1_5_zero-shot,0.94325,0.91071,0.91016,0.95763,0.95492,0.97297
columns-llama2_7b_sft_89_zero-shot,0.81341,0.69643,0.84375,0.77966,0.84426,0.861
columns-llama3_8b_stateval_0_5_zero-shot-CoT,0.71883,0.66071,0.73438,0.66949,0.72541,0.77992
columns-llama3_8b_instruct_stateval_0_5_one-shot-CoT,0.82717,0.76786,0.80469,0.84322,0.77049,0.92664
columns-llama2_7b_stateval_5_0_stats-prompt,0.45142,0.32738,0.37891,0.4661,0.48361,0.55985
columns-llama3_8b_sft_logic_zero-shot,0.95701,0.91667,0.9375,0.97458,0.96311,0.98069
columns-llama3_8b_instruct_stateval_0_5_zero-shot-CoT,0.74979,0.70238,0.8125,0.7161,0.67213,0.82239
columns-llama3_8b_stateval_1_5_one-shot-CoT,0.8031,0.69643,0.77734,0.80508,0.7582,0.93822
columns-llama3_8b_instruct_stateval_0_5_one-shot,0.82373,0.77381,0.82422,0.87288,0.71311,0.91506
