model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
methods-llama3_8b_instruct_stateval_5_0_stats-prompt,0.37661,0.33333,0.23828,0.27119,0.15574,0.84556
methods-llama2_13b_one-shot,0.27601,0.30952,0.10156,0.13983,0.10656,0.71042
methods-llama2_7b_sft_50_zero-shot,0.80224,0.93452,0.62891,0.90254,0.61475,0.97297
methods-llama3_8b_instruct_stateval_1_5_one-shot-CoT,0.34996,0.35714,0.20312,0.15254,0.13525,0.87259
methods-llama3_8b_instruct_sft_8_9_zero-shot,0.83233,0.77976,0.63281,0.88136,0.87295,0.98069
methods-llama3_8b_stateval_0_5_zero-shot-CoT,0.28461,0.03571,0.14062,0.16525,0.22541,0.7529
methods-llama3_8b_stats-prompt,0.40499,0.35119,0.24219,0.32627,0.18443,0.88031
methods-llama3_8b_stateval_0_5_one-shot-CoT,0.33448,0.2619,0.19922,0.16949,0.12705,0.861
methods-llama3_8b_instruct_stateval_sft_zero-shot,0.82115,0.97024,0.65625,0.90254,0.65164,0.97297
methods-llama3_8b_instruct_stateval_15_stats-prompt,0.37919,0.3631,0.19531,0.30508,0.13525,0.86873
methods-llama2_7b_stateval_5_0_one-shot-CoT,0.30439,0.10714,0.06641,0.16525,0.45492,0.65251
methods-llama3_8b_stateval_15_zero-shot-CoT,0.26741,0.05952,0.01172,0.19068,0.14344,0.8417
methods-llama2_7b_stateval_1_5_zero-shot-CoT,0.13328,0.04762,0.01562,0.0339,0.17623,0.35521
methods-llama3_8b_stateval_1_5_zero-shot-CoT,0.30095,0.04167,0.11328,0.17797,0.2541,0.81081
methods-llama2_7b_sft_1_6_zero-shot,0.73173,0.78571,0.46094,0.89407,0.59836,0.94208
methods-llama3_8b_stateval_5_0_one-shot-CoT,0.36457,0.31548,0.07422,0.19915,0.28689,0.90734
methods-llama3_8b_stateval_1_5_one-shot-CoT,0.36028,0.30357,0.11719,0.18644,0.2459,0.90347
methods-llama3_8b_instruct_zero-shot,0.11694,0.10119,0.12109,0.08475,0.0041,0.25869
methods-llama2_7b_stateval_5_0_zero-shot-CoT,0.14617,0.02976,0.01953,0.0339,0.20902,0.38996
