model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
overall-llama2_7b_sft_stateval_0_5_zero-shot,0.68874,0.68452,0.5625,0.70763,0.64344,0.8417
overall-llama2_7b_stateval_15_zero-shot-CoT,0.05073,0.00595,0.01172,0.01271,0.11475,0.09266
overall-llama3_8b_stateval_5_0_stats-prompt,0.3491,0.27381,0.15234,0.27966,0.14754,0.84556
overall-llama3_8b_instruct_stateval_1_5_zero-shot,0.17025,0.10119,0.08594,0.09322,0.05328,0.47876
overall-llama3_8b_instruct_stateval_5_0_stats-prompt,0.32588,0.27381,0.1875,0.24576,0.09426,0.78764
overall-llama3_8b_instruct_one-shot-CoT,0.28805,0.27976,0.16406,0.16102,0.07377,0.73359
overall-llama3_8b_instruct_stateval_sft_zero-shot,0.78332,0.92857,0.60547,0.86017,0.62295,0.94595
overall-llama3_8b_stateval_5_0_zero-shot,0.26913,0.02381,0.0,0.16949,0.25,0.80309
overall-llama2_7b_sft_stateval_15_zero-shot,0.67068,0.60714,0.49609,0.65678,0.7377,0.83398
overall-llama2_7b_stateval_1_5_one-shot-CoT,0.15477,0.01786,0.03906,0.0678,0.2541,0.34363
overall-llama2_7b_stateval_5_0_zero-shot-CoT,0.07137,0.00595,0.01562,0.01695,0.10656,0.18533
overall-llama3_8b_instruct_stateval_0_5_one-shot,0.27429,0.22024,0.125,0.12712,0.07787,0.77606
overall-llama3_8b_stateval_1_5_zero-shot-CoT,0.26311,0.02976,0.10156,0.16525,0.17213,0.74903
overall-llama3_8b_instruct_stateval_5_0_one-shot,0.28289,0.22619,0.11328,0.13136,0.08197,0.81467
overall-llama3_8b_stateval_1_5_one-shot,0.3276,0.22024,0.06641,0.1822,0.2582,0.85328
overall-llama3_8b_stateval_5_0_one-shot-CoT,0.33362,0.23214,0.07031,0.18644,0.2418,0.88031
overall-llama2_7b_sft_89_zero-shot,0.69218,0.68452,0.57422,0.70339,0.65164,0.8417
overall-llama3_8b_stateval_1_5_stats-prompt,0.36028,0.2619,0.1875,0.29661,0.15574,0.84556
overall-llama2_7b_stateval_0_5_zero-shot,0.08598,0.02381,0.00781,0.02119,0.13115,0.22008
overall-llama3_8b_instruct_sft_28_zero-shot,0.82459,0.91667,0.60156,0.87288,0.81148,0.95367
overall-llama2_7b_stateval_15_stats-prompt,0.15305,0.0119,0.04297,0.10593,0.14344,0.40541
overall-llama3_8b_instruct_sft_5_0_zero-shot,0.7945,0.67857,0.61719,0.88559,0.79098,0.96525
overall-llama3_8b_instruct_stateval_1_5_stats-prompt,0.31384,0.23214,0.22266,0.19915,0.08607,0.77606
overall-llama3_8b_one-shot,0.32158,0.18452,0.08203,0.20339,0.2377,0.83398
overall-llama3_8b_instruct_stateval_5_0_one-shot-CoT,0.32416,0.31548,0.19531,0.16525,0.04918,0.861
overall-llama3_8b_instruct_stateval_5_0_zero-shot,0.22958,0.16071,0.07031,0.11441,0.02049,0.73359
overall-llama2_7b_sft_stateval_1_5_zero-shot,0.66982,0.64286,0.54688,0.70339,0.67213,0.77606
overall-llama2_7b_stateval_5_0_one-shot-CoT,0.15649,0.0119,0.01562,0.07203,0.27459,0.35521
overall-llama3_8b_stateval_15_one-shot,0.30782,0.22024,0.05078,0.17797,0.20492,0.83398
overall-llama3_8b_instruct_one-shot,0.27085,0.20238,0.12109,0.13983,0.09016,0.7529
overall-llama3_8b_stateval_0_5_stats-prompt,0.37575,0.28571,0.22266,0.30085,0.17213,0.84556
overall-llama2_13b_zero-shot,0.09286,0.01786,0.00391,0.08898,0.03279,0.28958
overall-llama3_8b_sft_16_zero-shot,0.79192,0.84524,0.6875,0.87288,0.60246,0.96525
overall-llama3_8b_instruct_stats-prompt,0.26741,0.18452,0.17578,0.19492,0.08197,0.65251
