Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama2_7b_zero-shot,0.25881,0.1006,0.07309,0.09716,0.15993,0.22958,0.0,0.0
llama2_7b_zero-shot-CoT,0.30439,0.11178,0.05245,0.08083,0.16079,0.21324,0.0,0.0
llama2_7b_one-shot,0.08598,0.10834,0.1264,0.12984,0.21324,0.18659,0.0,0.0
llama2_7b_one-shot-CoT,0.1135,0.10576,0.10748,0.10232,0.19003,0.21496,0.0,0.0
llama2_7b_stats-prompt,0.06535,0.12124,0.14531,0.11178,0.23646,0.15821,0.0,0.0
llama2_13b_zero-shot,0.06277,0.07395,0.15133,0.1178,0.28547,0.21582,0.0,0.0
llama2_13b_zero-shot-CoT,0.06707,0.06449,0.18143,0.12382,0.25623,0.21496,0.0,0.0
llama2_13b_one-shot,0.0258,0.09544,0.20206,0.20206,0.17971,0.1135,0.0,0.0
llama2_13b_one-shot-CoT,0.03439,0.07309,0.23388,0.17455,0.16853,0.11178,0.0,0.0
llama2_13b_stats-prompt,0.01376,0.10748,0.23044,0.15735,0.19175,0.09716,0.0,0.0

llama3_8b_zero-shot,0.01462,0.02837,0.08684,0.45228,0.03009,0.12984,0.0,0.0
llama3_8b_zero-shot-CoT,0.20292,0.03009,0.13156,0.27515,0.03611,0.10404,0.0,0.0
llama3_8b_one-shot,0.0129,0.02923,0.15305,0.39123,0.02837,0.06363,0.0,0.0
llama3_8b_one-shot-CoT,0.31642,0.0215,0.12726,0.17541,0.03353,0.05245,0.0,0.0
llama3_8b_stats-prompt,0.00602,0.03955,0.15563,0.33964,0.02752,0.06621,0.0,0.0
llama3_8b_instruct_zero-shot,0.1307,0.0172,0.09974,0.44196,0.04041,0.17025,0.0,0.0
llama3_8b_instruct_zero-shot-CoT,0.135,0.02494,0.16337,0.37317,0.04385,0.14531,0.0,0.0
llama3_8b_instruct_one-shot,0.01806,0.04213,0.12554,0.4239,0.03525,0.08426,0.0,0.0
llama3_8b_instruct_one-shot-CoT,0.05331,0.04729,0.15649,0.35082,0.03697,0.06707,0.0,0.0
llama3_8b_instruct_stats-prompt,0.01032,0.04901,0.12124,0.42734,0.03181,0.09286,0.0,0.0

llama2_7b_sft_zero-shot,0.00688,0.1307,0.01978,0.15735,0.01462,0.03697,0.0,0.0
llama3_8b_sft_zero-shot,0.0,0.03353,0.01462,0.15907,0.0129,0.00946,0.0,0.0
llama3_8b_instruct_sft_zero-shot,0.00172,0.03869,0.0086,0.13242,0.0129,0.01118,0.0,0.0
