Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
Baseline ($\mathbb{D}_{\mathrm{train}}$ only),0.0129,0.14531,0.00774,0.1135,0.00946,0.01892,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-6),0.01376,0.14531,0.00774,0.11522,0.0086,0.02064,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-5),0.03783,0.14101,0.00774,0.1092,0.0086,0.0258,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-5),0.03181,0.14359,0.00946,0.10232,0.01032,0.02494,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-4),0.02408,0.15907,0.01118,0.1006,0.01204,0.02236,0.0,0.0

Baseline ($\mathbb{D}_{\mathrm{train}}$ only),0.0,0.02494,0.00688,0.14789,0.00946,0.0086,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-6),0.0,0.0258,0.00516,0.14789,0.00946,0.00516,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-5),0.0,0.02837,0.00516,0.14875,0.00946,0.00516,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-5),0.0,0.02666,0.0086,0.14359,0.01032,0.00516,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-4),0.00172,0.03181,0.0086,0.15993,0.01118,0.0086,0.0,0.0

Baseline ($\mathbb{D}_{\mathrm{train}}$ only),0.0,0.02666,0.00946,0.11952,0.01204,0.00774,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-6),0.0,0.03009,0.00688,0.11866,0.01204,0.00774,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-5),0.0,0.03439,0.00774,0.1264,0.0129,0.00946,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (5.0e-5),0.0,0.03955,0.00774,0.12898,0.01032,0.00946,0.0,0.0
$\mathbb{D}_{\mathrm{train}}$ -> StatEval (1.5e-4),0.00172,0.03783,0.0086,0.12468,0.01118,0.01376,0.0,0.0
