Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama2_7b_1.6e-5_zero-shot,0.00344,0.16079,0.04729,0.16165,0.02837,0.02752,0.0,0.0
llama2_7b_2.8e-5_zero-shot,0.0043,0.13844,0.02923,0.15133,0.02322,0.03869,0.0,0.0
llama2_7b_5.0e-5_zero-shot,0.00688,0.1307,0.01978,0.15735,0.01462,0.03697,0.0,0.0
llama2_7b_8.9e-5_zero-shot,0.00258,0.12038,0.01548,0.15821,0.01548,0.03697,0.0,0.0
llama2_7b_1.6e-4_zero-shot,0.0,0.13242,0.01118,0.15047,0.01462,0.03009,0.0,0.0
llama2_7b_2.8e-4_zero-shot,0.0,0.1178,0.01204,0.14617,0.0129,0.0215,0.0,0.0
llama2_7b_5.0e-4_zero-shot,0.00172,0.1221,0.00602,0.15907,0.01204,0.01892,0.0,0.0
llama2_7b_8.9e-4_zero-shot,0.0129,0.14531,0.00774,0.1135,0.00946,0.01892,0.0,0.0
llama2_7b_1.6e-3_zero-shot,0.01892,0.26225,0.00688,0.14961,0.01204,0.04127,0.0,0.0
llama2_7b_2.8e-3_zero-shot,0.34996,0.1049,0.00258,0.0,0.52451,0.0172,0.0,0.0

llama3_8b_1.6e-5_zero-shot,0.0,0.02923,0.01634,0.16853,0.01548,0.00774,0.0,0.0
llama3_8b_2.8e-5_zero-shot,0.0,0.02923,0.0172,0.16337,0.01892,0.00774,0.0,0.0
llama3_8b_5.0e-5_zero-shot,0.0,0.03353,0.01462,0.15907,0.0129,0.00946,0.0,0.0
llama3_8b_8.9e-5_zero-shot,0.0,0.0258,0.01204,0.16165,0.01462,0.00946,0.0,0.0
llama3_8b_1.6e-4_zero-shot,0.0,0.02494,0.00602,0.15563,0.0129,0.0086,0.0,0.0
llama3_8b_2.8e-4_zero-shot,0.0,0.02494,0.00688,0.14789,0.00946,0.0086,0.0,0.0
llama3_8b_5.0e-4_zero-shot,0.0,0.03955,0.0086,0.15047,0.01118,0.00688,0.0,0.0
llama3_8b_8.9e-4_zero-shot,0.0129,0.10576,0.00688,0.15821,0.01376,0.0129,0.0,0.0

llama3_8b_instruct_1.6e-5_zero-shot,0.0,0.05245,0.02322,0.14359,0.01204,0.0129,0.0,0.0
llama3_8b_instruct_2.8e-5_zero-shot,0.0,0.03697,0.02064,0.14531,0.01462,0.0129,0.0,0.0
llama3_8b_instruct_5.0e-5_zero-shot,0.00172,0.03869,0.0086,0.13242,0.0129,0.01118,0.0,0.0
llama3_8b_instruct_8.9e-5_zero-shot,0.00086,0.03783,0.01032,0.13586,0.01204,0.0086,0.0,0.0
llama3_8b_instruct_1.6e-4_zero-shot,0.0,0.03525,0.0086,0.12468,0.0129,0.00602,0.0,0.0
llama3_8b_instruct_2.8e-4_zero-shot,0.0,0.02666,0.00946,0.11952,0.01204,0.00774,0.0,0.0
llama3_8b_instruct_5.0e-4_zero-shot,0.0,0.06363,0.00774,0.14359,0.01118,0.00946,0.0,0.0
llama3_8b_instruct_8.9e-4_zero-shot,0.00516,0.1092,0.00774,0.16423,0.00688,0.01204,0.0,0.0
