Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
0-shot_(baseline),0.1307,0.0172,0.09974,0.44196,0.04041,0.17025,0.0,0.0
0-shot_(5.0e-6),0.12468,0.01462,0.07653,0.45314,0.0258,0.15993,0.0,0.0
0-shot_(1.5e-5),0.11178,0.02236,0.06965,0.47034,0.02666,0.12898,0.0,0.0
0-shot_(5.0e-5),0.05847,0.03009,0.08169,0.43852,0.03009,0.13156,0.0,0.0
0-shot_(1.5e-4),0.10834,0.03353,0.11178,0.3448,0.03095,0.12038,0.0,0.0
1-shot_(baseline),0.01806,0.04213,0.12554,0.4239,0.03525,0.08426,0.0,0.0

0-shot-CoT_(baseline),0.135,0.02494,0.16337,0.37317,0.04385,0.14531,0.0,0.0
0-shot-CoT_(5.0e-6),0.12554,0.01978,0.1221,0.39553,0.03783,0.14531,0.0,0.0
0-shot-CoT_(1.5e-5),0.1006,0.01806,0.11608,0.40155,0.04127,0.1264,0.0,0.0
0-shot-CoT_(5.0e-5),0.04557,0.03611,0.14445,0.33362,0.04557,0.12812,0.0,0.0
0-shot-CoT_(1.5e-4),0.092,0.04041,0.18229,0.23904,0.05933,0.11178,0.0,0.0
1-shot-CoT_(baseline),0.05331,0.04729,0.15649,0.35082,0.03697,0.06707,0.0,0.0
