Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
0-shot-CoT_(baseline),0.20292,0.03009,0.13156,0.27515,0.03611,0.10404,0.0,0.0
0-shot-CoT_(5.0e-6),0.09716,0.03439,0.15649,0.3104,0.04041,0.11092,0.0,0.0
0-shot-CoT_(1.5e-5),0.04385,0.03783,0.16423,0.3276,0.04127,0.1221,0.0,0.0
0-shot-CoT_(5.0e-5),0.0258,0.02494,0.11952,0.42562,0.02236,0.12554,0.0,0.0
0-shot-CoT_(1.5e-4),0.16853,0.02408,0.11264,0.33706,0.02322,0.09114,0.0,0.0
0-shot_(baseline),0.01462,0.02837,0.08684,0.45228,0.03009,0.12984,0.0,0.0

1-shot-CoT_(baseline),0.31642,0.0215,0.12726,0.17541,0.03353,0.05245,0.0,0.0
1-shot-CoT_(5.0e-6),0.24678,0.0215,0.14273,0.19089,0.03439,0.05073,0.0,0.0
1-shot-CoT_(1.5e-5),0.08255,0.02666,0.16767,0.29235,0.03095,0.06621,0.0,0.0
1-shot-CoT_(5.0e-5),0.02837,0.03095,0.14015,0.35168,0.03267,0.08255,0.0,0.0
1-shot-CoT_(1.5e-4),0.07739,0.03525,0.15649,0.30181,0.03611,0.07739,0.0,0.0
1-shot_(baseline),0.0129,0.02923,0.15305,0.39123,0.02837,0.06363,0.0,0.0
