Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama2_7b_5.0e-6_zero-shot,0.27773,0.10232,0.06621,0.08942,0.14273,0.2356,0.0,0.0
llama2_7b_1.5e-5_zero-shot,0.48237,0.07223,0.07051,0.06965,0.0877,0.10748,0.0,0.0
llama2_7b_5.0e-5_zero-shot,0.54256,0.07653,0.04385,0.05761,0.07739,0.09888,0.0,0.0
llama2_7b_1.5e-4_zero-shot,0.51419,0.07911,0.05331,0.04041,0.09716,0.12124,0.0,0.0

llama3_8b_5.0e-6_zero-shot,0.01204,0.02408,0.08684,0.4583,0.02494,0.12812,0.0,0.0
llama3_8b_1.5e-5_zero-shot,0.01204,0.02408,0.09286,0.46346,0.02494,0.11178,0.0,0.0
llama3_8b_5.0e-5_zero-shot,0.02752,0.01806,0.07567,0.47463,0.0129,0.1221,0.0,0.0
llama3_8b_1.5e-4_zero-shot,0.20206,0.01978,0.05933,0.38435,0.01032,0.07739,0.0,0.0

llama3_8b_instruct_5.0e-6_zero-shot,0.12468,0.01462,0.07653,0.45314,0.0258,0.15993,0.0,0.0
llama3_8b_instruct_1.5e-5_zero-shot,0.11178,0.02236,0.06965,0.47034,0.02666,0.12898,0.0,0.0
llama3_8b_instruct_5.0e-5_zero-shot,0.05847,0.03009,0.08169,0.43852,0.03009,0.13156,0.0,0.0
llama3_8b_instruct_1.5e-4_zero-shot,0.10834,0.03353,0.11178,0.3448,0.03095,0.12038,0.0,0.0
